No;Periode;Akses;aging;Customer_type;subscribe;order;Tagihan
1607;201801;1500000;40;Bank & Finance;190;24;23000000
1608;201802;1500000;18;Bank & Finance;190;24;23000000
1609;201803;1500000;12;Bank & Finance;190;24;23000000
1610;201804;1500000;3;Bank & Finance;190;24;23000000
1611;201805;1500000;7;Bank & Finance;190;24;35381500
1612;201806;1500000;224;Bank & Finance;190;24;33678400
1613;201807;1500000;8;Bank & Finance;190;24;43800100
1614;201808;1500000;14;Bank & Finance;190;24;26498000
1615;201809;1500000;77;Bank & Finance;190;24;23000000
1616;201810;1500000;48;Bank & Finance;190;24;23000000
1617;201811;1500000;82;Bank & Finance;190;24;23000000
1618;201812;1500000;5;Bank & Finance;190;24;23000000
1801;201901;1500000;133;Bank & Finance;190;24;23000000
1802;201902;1500000;148;Bank & Finance;190;24;23000000
1803;201903;1500000;141;Bank & Finance;190;24;23000000
1804;201904;1500000;131;Bank & Finance;190;24;23000000
1805;201905;1500000;128;Bank & Finance;190;24;23000000
1806;201906;1500000;127;Bank & Finance;190;24;23000000
1807;201907;1500000;148;Bank & Finance;190;24;23000000
1808;201908;1500000;132;Bank & Finance;190;24;43379900
1809;201909;1500000;132;Bank & Finance;190;24;57938300
1810;201910;1500000;135;Bank & Finance;190;24;23000000
1811;201911;1500000;203;Bank & Finance;190;24;23000000
1812;201912;1500000;12;Bank & Finance;190;24;23000000
1;202001;1500001;48;MEDIS;1460;24;17000000
180;202002;1500001;43;MEDIS;1460;24;17000000
357;202003;1500001;22;MEDIS;190;24;17000000
530;202004;1500001;279;MEDIS;190;24;17000000
699;202005;1500001;10;MEDIS;190;24;17000000
891;202006;1500001;17;MEDIS;190;24;17000000
1095;202007;1500001;14;MEDIS;190;24;17000000
1293;202008;1500001;26;MEDIS;190;24;17000000
1451;202009;1500001;8;MEDIS;190;24;17000000
1645;202010;1500001;19;MEDIS;190;24;17000000
1962;202011;1500001;148;MEDIS;190;24;17000000
2118;201701;1500001;35;MEDIS;190;24;17000000
2119;201702;1500001;4;MEDIS;190;24;17000000
2120;201703;1500001;2;MEDIS;190;24;17000000
2121;201704;1500001;17;MEDIS;190;24;17000000
2122;201705;1500001;16;MEDIS;190;24;17000000
2123;201706;1500001;24;MEDIS;190;24;17000000
2124;201707;1500001;1;MEDIS;190;24;17000000
2125;201708;1500001;3;MEDIS;190;24;17000000
2126;201709;1500001;16;MEDIS;190;24;17000000
2127;201710;1500001;4;MEDIS;190;24;17000000
2128;201711;1500001;37;MEDIS;190;24;17000000
2129;201712;1500001;51;MEDIS;190;24;17000000
2266;202012;1500001;92;MEDIS;190;24;17000000
2;202001;1500002;14;PENDIDIKAN;968;12;2446900
181;202002;1500002;112;PENDIDIKAN;968;12;2399600
358;202003;1500002;7;PENDIDIKAN;190;12;2281300
531;202004;1500002;280;PENDIDIKAN;190;12;2453000
700;202005;1500002;16;PENDIDIKAN;190;12;2188800
892;202006;1500002;12;PENDIDIKAN;190;12;2267300
1096;202007;1500002;7;PENDIDIKAN;190;12;2374700
1294;202008;1500002;49;PENDIDIKAN;190;12;4177700
1452;202009;1500002;30;PENDIDIKAN;190;12;2853700
1646;202010;1500002;50;PENDIDIKAN;190;12;2471600
1963;202011;1500002;79;PENDIDIKAN;190;12;2305100
2267;202012;1500002;24;PENDIDIKAN;190;12;2258800
2130;201811;1500008;33;Bank & Finance;190;2;17000000
2131;201812;1500008;43;Bank & Finance;190;2;9870968
2132;201508;1500009;25;Bank & Finance;190;30;17000000
2133;201509;1500009;33;Bank & Finance;190;30;17000000
2134;201510;1500009;93;Bank & Finance;190;30;17000000
2135;201511;1500009;149;Bank & Finance;190;30;17000000
2136;201512;1500009;56;Bank & Finance;190;30;17000000
2137;201601;1500009;47;Bank & Finance;190;30;17000000
2138;201602;1500009;14;Bank & Finance;190;30;17000000
2139;201603;1500009;16;Bank & Finance;190;30;17000000
2140;201604;1500009;11;Bank & Finance;190;30;17000000
2141;201605;1500009;3;Bank & Finance;190;30;17000000
2142;201606;1500009;14;Bank & Finance;190;30;17000000
2143;201607;1500009;25;Bank & Finance;190;30;17000000
2144;201608;1500009;238;Bank & Finance;190;30;17000000
2145;201609;1500009;238;Bank & Finance;190;30;17000000
2146;201610;1500009;238;Bank & Finance;190;30;17000000
2147;201611;1500009;18;Bank & Finance;190;30;17000000
2148;201612;1500009;43;Bank & Finance;190;30;17000000
2149;201707;1500009;22;Bank & Finance;190;30;17000000
2150;201708;1500009;15;Bank & Finance;190;30;17000000
2151;201709;1500009;157;Bank & Finance;190;30;17000000
2152;201710;1500009;31;Bank & Finance;190;30;17000000
2153;201711;1500009;7;Bank & Finance;190;30;17000000
2154;201712;1500009;191;Bank & Finance;190;30;17000000
2155;201801;1500009;121;Bank & Finance;190;30;17000000
2156;201802;1500009;7;Bank & Finance;190;30;17000000
2157;201803;1500009;10;Bank & Finance;190;30;17000000
2158;201804;1500009;14;Bank & Finance;190;30;17000000
2159;201805;1500009;14;Bank & Finance;190;30;17000000
2160;201806;1500009;11;Bank & Finance;190;30;17000000
2161;201807;1500009;339;Bank & Finance;190;30;17000000
3;202001;1500010;14;Bank & Finance;2039;30;857190700
182;202002;1500010;44;Bank & Finance;2039;30;815888500
359;202003;1500010;15;Bank & Finance;190;30;846001900
532;202004;1500010;279;Bank & Finance;190;30;891627800
701;202005;1500010;16;Bank & Finance;190;30;868471600
893;202006;1500010;11;Bank & Finance;190;30;851874000
1097;202007;1500010;1;Bank & Finance;190;30;840852600
1295;202008;1500010;133;Bank & Finance;190;30;706723900
1453;202009;1500010;1;Bank & Finance;190;30;579019600
1647;202010;1500010;50;Bank & Finance;190;30;571490700
1964;202011;1500010;51;Bank & Finance;190;30;524496500
2162;201507;1500010;102;Bank & Finance;190;30;522252400
2163;201508;1500010;103;Bank & Finance;190;30;820672200
2164;201509;1500010;75;Bank & Finance;190;30;630493600
2165;201510;1500010;84;Bank & Finance;190;30;525588500
2166;201511;1500010;43;Bank & Finance;190;30;516336200
2167;201512;1500010;112;Bank & Finance;190;30;391519300
2168;201601;1500010;44;Bank & Finance;190;30;465348600
2169;201602;1500010;45;Bank & Finance;190;30;520680400
2170;201603;1500010;35;Bank & Finance;190;30;515669600
2171;201604;1500010;82;Bank & Finance;190;30;545451600
2172;201605;1500010;45;Bank & Finance;190;30;617165700
2173;201606;1500010;38;Bank & Finance;190;30;627483900
2174;201607;1500010;29;Bank & Finance;190;30;540449000
2175;201608;1500010;34;Bank & Finance;190;30;626491300
2176;201609;1500010;148;Bank & Finance;190;30;576180000
2177;201610;1500010;13;Bank & Finance;190;30;513929600
2178;201611;1500010;188;Bank & Finance;190;30;492903800
2179;201612;1500010;16;Bank & Finance;190;30;489735600
2268;202012;1500010;50;Bank & Finance;190;30;455408700
4;202001;1500015;50;OTOMOTIF;1460;6;35948200
183;202002;1500015;45;OTOMOTIF;1460;6;46587900
360;202003;1500015;19;OTOMOTIF;190;6;54443200
533;202004;1500015;270;OTOMOTIF;190;6;50661800
702;202005;1500015;16;OTOMOTIF;190;6;49824800
894;202006;1500015;11;OTOMOTIF;190;6;36016000
5;202001;1500016;39;Bank & Finance;1906;27;42035300
184;202002;1500016;35;Bank & Finance;1906;27;40329400
361;202003;1500016;18;Bank & Finance;190;27;40153100
534;202004;1500016;29;Bank & Finance;190;27;49553600
703;202005;1500016;5;Bank & Finance;190;27;49771100
895;202006;1500016;11;Bank & Finance;190;27;40325300
1098;202007;1500016;23;Bank & Finance;190;27;37652900
1296;202008;1500016;121;Bank & Finance;190;27;40582900
1454;202009;1500016;65;Bank & Finance;190;27;37079400
1648;202010;1500016;27;Bank & Finance;190;27;38953400
1965;202011;1500016;94;Bank & Finance;190;27;33360500
2180;201510;1500016;26;Bank & Finance;190;27;17000000
2181;201511;1500016;31;Bank & Finance;190;27;17000000
2182;201512;1500016;32;Bank & Finance;190;27;17000000
