aging,subscribe,order,Tagihan
40,190,24,23000000
18,190,24,23000000
12,190,24,23000000
3,190,24,23000000
7,190,24,35381500
224,190,24,33678400
8,190,24,43800100
14,190,24,26498000
77,190,24,23000000
48,190,24,23000000
82,190,24,23000000
5,190,24,23000000
133,190,24,23000000
148,190,24,23000000
141,190,24,23000000
131,190,24,23000000
128,190,24,23000000
127,190,24,23000000
148,190,24,23000000
132,190,24,43379900
132,190,24,57938300
135,190,24,23000000
203,190,24,23000000
12,190,24,23000000
48,1460,24,17000000
43,1460,24,17000000
22,190,24,17000000
279,190,24,17000000
10,190,24,17000000
17,190,24,17000000
14,190,24,17000000
26,190,24,17000000
8,190,24,17000000
19,190,24,17000000
148,190,24,17000000
35,190,24,17000000
4,190,24,17000000
2,190,24,17000000
17,190,24,17000000
16,190,24,17000000
24,190,24,17000000
1,190,24,17000000
3,190,24,17000000
16,190,24,17000000
4,190,24,17000000
37,190,24,17000000
51,190,24,17000000
92,190,24,17000000
14,968,12,2446900
112,968,12,2399600
7,190,12,2281300
280,190,12,2453000
16,190,12,2188800
12,190,12,2267300
7,190,12,2374700
49,190,12,4177700
30,190,12,2853700
50,190,12,2471600
79,190,12,2305100
24,190,12,2258800
33,190,2,17000000
43,190,2,9870968
25,190,30,17000000
33,190,30,17000000
93,190,30,17000000
149,190,30,17000000
56,190,30,17000000
47,190,30,17000000
14,190,30,17000000
16,190,30,17000000
11,190,30,17000000
3,190,30,17000000
14,190,30,17000000
25,190,30,17000000
238,190,30,17000000
238,190,30,17000000
238,190,30,17000000
18,190,30,17000000
43,190,30,17000000
22,190,30,17000000
15,190,30,17000000
157,190,30,17000000
31,190,30,17000000
7,190,30,17000000
191,190,30,17000000
121,190,30,17000000
7,190,30,17000000
10,190,30,17000000
14,190,30,17000000
14,190,30,17000000
11,190,30,17000000
339,190,30,17000000
14,2039,30,857190700
44,2039,30,815888500
15,190,30,846001900
279,190,30,891627800
16,190,30,868471600
11,190,30,851874000
1,190,30,840852600
133,190,30,706723900
1,190,30,579019600
50,190,30,571490700
51,190,30,524496500
102,190,30,522252400
103,190,30,820672200
75,190,30,630493600
84,190,30,525588500
43,190,30,516336200
112,190,30,391519300
44,190,30,465348600
45,190,30,520680400
35,190,30,515669600
82,190,30,545451600
45,190,30,617165700
38,190,30,627483900
29,190,30,540449000
34,190,30,626491300
148,190,30,576180000
13,190,30,513929600
188,190,30,492903800
16,190,30,489735600
50,190,30,455408700
50,1460,6,35948200
45,1460,6,46587900
19,190,6,54443200
270,190,6,50661800
16,190,6,49824800
11,190,6,36016000
39,1906,27,42035300
35,1906,27,40329400
18,190,27,40153100
29,190,27,49553600
5,190,27,49771100
11,190,27,40325300
23,190,27,37652900
121,190,27,40582900
65,190,27,37079400
27,190,27,38953400
94,190,27,33360500
26,190,27,17000000
31,190,27,17000000
32,190,27,17000000
85,190,27,17000000
56,190,27,17000000
10,190,27,19838400
7,190,27,18101900
55,190,27,18773900
53,190,27,17883700
24,190,27,17766400
54,190,27,20568700
55,190,27,18197000
38,190,27,18946900
27,190,27,19269200
99,190,27,20239600
30,190,27,42249000
18,1953,28,279912940
82,1953,28,259810291
20,190,28,329388605
24,190,28,381312470
2,190,28,301133940
12,190,28,299812223
169,190,28,418327085
114,190,28,631067661
16,190,28,614236378
10,190,28,515779748
60,190,28,454517217
5,190,28,23000000
6,190,28,23000000
20,190,28,23000000
17,190,28,23196100
69,190,28,23234300
70,190,28,26582900
69,190,28,31760400
5,190,28,38856500
7,190,28,53964700
17,190,28,85717700
10,190,28,87763900
17,190,28,90193900
6,190,28,86139300
50,190,28,93420800
140,190,28,102912500
2,190,28,109845700
39,190,28,390608003
84,1460,12,17000000
45,1460,12,17000000
20,190,12,17000000
11,190,12,26922300
26,190,12,17000000
12,190,12,17000000
5,190,12,17000000
3,190,12,17000000
142,190,12,17000000
16,190,12,17195300
16,190,12,17000000
30,190,12,17000000
14,364,10,2265435
29,190,10,301561
22,190,10,2008467
35,190,10,2000000
92,190,10,2026500
31,190,10,2015300
32,190,10,2003100
22,190,10,2054900
87,190,10,2319600
92,190,10,2029500
12,190,10,6248983
8,190,10,7677083
4,190,10,7174516
6,190,10,6629467
5,190,10,6704350
3,190,10,7022400
13,190,10,6768700
24,190,10,7156700
5,190,10,7165366
14,190,10,8357900
50,2009,30,17000000
38,2009,30,17000000
11,190,30,17000000
24,190,30,17000000
12,190,30,17000000
5,190,30,17000000
1,190,30,17000000
1,190,30,17000000
60,190,30,17000000
56,190,30,17000000
111,190,30,17000000
273,190,30,17000000
149,190,30,17000000
9,190,30,17000000
20,190,30,17000000
10,190,30,17000000
6,190,30,17000000
4,190,30,17000000
21,190,30,17000000
35,190,30,17000000
23,190,30,17000000
147,190,30,17000000
36,190,30,20888600
22,190,30,17000000
43,190,30,17000000
43,190,30,17000000
36,190,30,17000000
21,190,30,17000000
259,190,30,17000000
